SNo,Project Name,Scheme Name,PI Details
382,Development of cast components in high entropy alloys,"ISRO, Bengaluru",Prof. SuhritMula STC-1564-MMD
383,Novel Processing to enhance duality of cast AZ91 Mg alloy,"ISRO, Bengaluru",Prof. Vivek Pancholi STC-1566-MMD
384,Development of oxide dispersion strengthened (ODS) Nickel based super alloys by powder forging,"ISRO, Bengaluru",Prof. Vikram Dabhade STC-1567-MMD
385,Effect of titanium and zirconium addition on the nano-cluster formation and creep properties of ferritic oxide dispersion strengthened (ODS) steel processed by powder forging,"SERB, New Delhi",Prof. Vikram Dabhade SER-1618-MMD
386,"Thermo - mechanical characteristics of interstital - substitutional high entropy CoCrFeMnNi (C,N) alloy","SERB, New Delhi",Prof. Vivek Pancholi SER-1620-MMD
387,Recovery of lithium and cobalt values from discarded lithium-ion batteries,"SERB, New Delhi",Prof. Nikhil Dhawan SER-1638-MMD
388,Developing pathways for simultaneous improvement in formability and paint bake response of automative grade Al-Mg-Si alloys,"SERB ,New Delhi",Prof. Sumeet Mishra SER-1757-MMD
389,TARE- SCHEME,"SERB, New Delhi",Dr. Manish Gaupta SER-1793-MMD
390,Multi-Scale Modeling of Hydrogen Embrittlement,"SERB, New Delhi",Prof. ArkaLahiri SER-1837-MMD
391,Tough & Conductive spark plasma sintered SiC composites for wear resistant and electrical discharge machining applications,"SERB, New Delhi",Prof. B. Venkata Manoj Kumar SER-1838-MMD
392,Role of Cu on the mechanical response of quenched and tempered (Q&T) steel,"SERB ,New Delhi",Prof. Anish Karmakar SER-1849-MMD
393,Creep studies on superalloy 718 prepared by additive manufacturing,"SERB, New Delhi",Prof. Ujjawal Prakash SER-1862-MMD
394,To study the high temperature Creep Rupture Behaviour of SU 718 alloy,"DRDO, Bangalore",Prof. Ujjwal Prakash GTR-1915-MMD
395,Development of solid electrolytes for high voltage and high energy density Li and Na-ion batteries,"ISRO, Bengaluru",Prof. Anjan sil STC-1940-MMD
396,Development of long continuous CNT- Polymer composite fibers for high strength applications,"BSS Advance Technologies Pvt. Ltd, Gurgaon, Haryana",Prof. Debrupa Lahiri BSS-1949-MMD
397,Underlying Mechanisms of solidification microstructure formation during metal additive manufacturing,"SERB, New Delhi",Prof. Supriyo Ghosh SER-1972-MMD
398,Development of polymer based water tight plug with high ability to recover shape,"NARENDRA EXPLOSIVES LIMITED, DEHRADUN",Prof. Debrupa Lahiri NEL-2016-MMD
399,Design fabrication and characterization,"SERB, New Delhi",Prof.Abhishek Tiwari SER-2038-MMD
400,Setting up Centre for Railway Research (CRR),"RDSO, Lucknow",Dr. S. C. Sharma RDS-1073-MID
401,DIC Ph.D Fellowship,"MHRD, New Delhi",Dr. ApurbbaKm. Sharma DIC-1267-MID
402,Development of ultrasonic assisted Tandem Electrochemical and Electrodischarge Micromachining process,"SERB, New Delhi",Dr. AkshayDvivedi SER-1373-MID
403,Investigation of unsteady flow phenomina on a flapping wing and its control using synthetic jet,"DRDO, New Delhi",Prof. Sushanta Dutta DRD-1435-MID
404,Investigation of creep and high temperature fatigue behaviour of additively manufactured Ti-6AI-4v alloys,"DRDO, New Delhi",Prof. Vidit Gaur DRD-1530-MID
405,Deployment Mechanisms for 12m Diameter space craft antennas,"ISRO, Bengaluru",Prof. S.H. Upadhyay STC-1561-MID
406,Development of ultra high speed optical diagnostic methodology based upon modern high speed framing camera system,"TBRL -DRDO, Chandigarh",Prof. Andallib Tariq DRD-1581-MID
407,Application of multi-objective generative algorithms in design of complex systems,"PMG. Engg. Private Ltd., Noida",Prof. Vidit Gaur PMG-1603-MID
408,Higher order and adaptive time integrators for fully coupled chemo-mechano- reaction problem,"SERB, New Delhi",Prof. Siladitya Pal SER-1611-MID
409,Multiphase Analysis of Inclusion Transport and removal in continuous casting products with use of electromagnetic stirrer,"SERB, New Delhi",Prof. Pradeep Kumar Jha SER-1639-MID
410,Fatigue Behaviour of Al-alloy for marine applications,"DRDO, New Delhi",Prof. Bhanu Kumar Mishra DRD-1692-MID
411,Experimental and theoretical studies of high ballistics impact on multi layered nanocomposites,"DRDO, New Delhi",Prof. Kaushik Pal DRD-1728-MID
412,Impact Biomechanics of human head,"DRDO-TBRL, Chandigarh",Prof. Shailesh 7Ganpule DRD8-1737-MID
413,Acquisition of Research services for aerodynamic design of ballistic helmet for blast attenuation,"Ordnance Clothing Factory, Avadi, Chennai",Prof9. Shailesh Ganpule OCF-1738-MID
414,Experimental and numerical on development of erosion friendly guide vane for hydro-turbines,"SERB, New Delhi",Prof. Bhupendra Kumar Gandhi SER-1767-MID
415,Static and dynamics behaviour of organic and inorganic nanofiller reinforced hydrogels for biomedical applications,"SERB, New Delhi",Prof. Avinash Parashar SER-1774-MID
416,"Design, Fabrication and characterization of enhanced micro heat pipe for electronic cooling","SERB, New Delhi",Prof. Arup Kumar Das SER-1776-MID
417,Large -eddy simulation of flow instabilities in hydraulic turbines at off-design operation,"CPRI, Banglore",Prof. Krishna Mohan Singh CPR-1799-MID
418,N-PDF,"SERB, New Delhi",Dr. Sonika Sahu SER-1803-MID
419,Model experiments to measure the spread of forest fires in a realistic configuration,"SERB, New Delhi",Prof. Kirti Bhushan Mishra SER-1811-MID
420,A Coupled field finite element framework for the dynamic analysis of Inhomogeneously Deforming electroactive polymers,"SERB, New Delhi",Prof. Manish Madhav Joglekar SER-1828-MID
421,Atomistic simulation to study high strain rate behaviour of high entropy alloys,"SERB, New Delhi",Prof. Avinash Parashar SER-1830-MID
422,Ramanujan Fellowship,"SERB, New Delhi",Dr. Neetu Tiwari SER-1839-MID
423,Design of Comfort Space for mushroom farming at Biharigarh,Pervyukt Agrinnovaters (P) Ltd.,Prof. Sudhakar Subudhi PAL-1904-MID
424,Fatigue design of welded joints in military bridges : experiments and simulations,"DRDO, New Delhi",Prof. Indra Vir Singh DRD-1908-MID
425,Sound attenuation through use of Acoustic meta materials for trane technologies products - Part 2,Climate ETC Technologieservice Pvt. Ltd. Bangalore,Prof. Sneha Singh CET-1912-MID
426,Design and Analysis of Inflatable Military Decoys & testing of experimental model,"DRDO, Pune",Prof. S. H. Upadhyay DRD-1919-MID
427,Design and development of In-pipe robot,"Guwahati Technology Innovation and Development Foundation, TIH, IIT Guwahati",Prof. P.M. Pathak IGL-1927-MID
428,Experimental and numerical analysis of light weight nanocomposites for static and dynamic loading,"ISRO, Bengaluru",Prof. Avinash Parashar STC-1939-MID
429,Development of Super thermal insulting material (AEROGEL) based flexible blanket system for the interplanetary missions with gaseous convective environments,"ISRO, Bengaluru",Prof. Kaushik Pal STC-1942-MID
430,"Design and development of an intelligent unmanned aerial vehicle applied to open cast minefield surveillance for real-time monitoring, hazards and vulnerability assessment",I-Hub Foundation for COBOTICS (Technology Innovation Hub of IIT Delhi Govt. of India),Prof. Pushparaj Mani Pathak IHF-1947-MID
431,Development of a moment of fluid framework integrating machine learning based curvature estimation for non-newtonian two-phase flows in complex geometrics,"SERB, New Delhi",Prof. Nikhil Kumar Singh SER-1961-MID
432,Formability analysis during hole-flanging process for developing auto-body components along with robust numerical modelling guideline for industrial implementation,"SERB, New Delhi",Prof. Shamik Basak SER-1965-MID
433,Networked adaptive traffic signal in IoT enabled smart cities,Technology Innovation Hub at the indian statistical institute kolkata,Prof. Dhish kumar Saxena ISI-1970-MID
434,Development of hybrid finishing process by in situ laser polishing and machining to improve machinability of laser additive manufactured components,"SERB, New Delhi",Prof. Amit Choudhary SER-1973-MID
435,Design and fabrication of a bio-inspired surface with modified fluid structure interaction for enhanced under water performance,"DRDO, New Delhi",Prof. Sushanta Dutta DRD-1990-MID
436,Characterizing flame- acoustic-turbulence interaction in premixed combusion of sustainable/low carbon fules and their blends,"SERB, New DELHI",Prof. Ajit kumar Dubey SER-1992-MID
437,Development of biofidelic surrogate dummy models and to study their response against explosive blast loads using experiments and numerical simulations,"DRDO, Hyderabad",Prof. Shailesh Ganpule DRD-2011-MID
438,"Development of digital twin for centrifugal pump and system, pipelines providing sea water supply to main propulsion plant on board naval platforms","DRDO, Visakhapatnam  ,Ministry of Defence",Prof. Anil Kumar DRD-2050-MID
439,Designing secure and robust artificial intelligence (AI) algorithms and accelerators,"SERB, New Delhi",Prof. Sparsh Mittal SER-2022-MFS
440,DIC Ph.D Fellowship,MHRD,Prof. Rajat Agarwal DIC-1266-MSD
441,Framework for municipal waste mangement solutions in smart cities of India,"ICSSR, New Delhi",Prof. Ramesh A. ICS-1883-MSD
442,Exploring low-Carbon transportation pathways for India,"New Venture Fund, Liuben Chipev, Washington, USA",Prof. Tarun Sharma NVF-1911-MSD
443,Investigating the Adoption of Electric Vehicles in India : A Case of Tier 2 cities in India,"ICSSR, New Delhi",Prof. Sourabh Arora ICS-1918-MSD
444,Start-up India and Skill India Initatives Identification of Innovative Financial Source to Strengthen the Initiatives and formation of Financial Strategies,"ICSSR, New Delhi",Prof. Anil kumar Sharma ICS-1925-MSD
445,International decarbonization modelling project with open-source models and data (Open decarbonization initiative),"Environmental defence fund, United States, New York",Prof. Tarun Sharma EDF-1958-MSD
446,Bilayer functionalized scaffold for peripheral nerve and guided motor neural regeneration,"SERB, New Delhi",Dr. DebrupaLahiri SER-1506-NTC
447,Stimuli responsive photothermal nanoparticles in cancer therapy,"DST, New Delhi",Prof. Kaushik Pal DST-1583-NTC
448,"""Thermoelectric transport in presence of time-dependent perturbations "" under women scientist scheme 'A' (Wos-A)","DST, New Delhi",Prof. Debashree Chowdhury DST-1586-NTC
449,Nanostructured Materials fo Next-generation Energy conversion and storage Devices,"DST, New Delhi",Prof. Yogesh Kumar Sharma DST-1769-NTC
450,Multiscale Modelling and simulation of layered fibrereinforeced nanocomposite,DRDO-CARS,Prof. Kaushik Pal DRD-1825- NTC
451,N-PDF,"SERB ,New Delhi",Dr.Unnikrishnan B. S. SER-1844-NTC
452,Nanoscale Investigations into the interactions of metal/metal oxides/ceramics/cermets with GAGs for functional applications,ESYANTRA PVT. LTD,Prof. Krishna Mohan Poluri EPL-1886-NTC
453,Development of Nano-micro matrices for the delivery of bioactives micronutrients and therapeutics,"ICAR - NASF , New Delhi",Prof. Naveen Kumar Navani NAS-1928-NTC
454,Development Scaffolds for restoring trauma in spinal cord injury (SCI),"ICMR, New Delhi",Prof. Debrupa Lahiri ICM-1950-NTC
455,Development efficient colloidal quantum dot-based solid state light emitters in the short-wave infrared region of 1500-1700 nm,"SERB, New Delhi",Prof. Santanu Pradhan SER-1952-NTC
456,Study of light heavy-ion fusion reaction mechanism in producing platinum group metal radionuclides-A prospect towards application,"CSIR, New Delhi",Dr. MoumitaMaithi CSR-1476-PHY
457,Quantum information technologies with ion-trap and optical-lattice devices,"DST, New Delhi",Prof. Ajay wasan DST-1519-PHY
458,Photonic metasurfaces for enhanced IR absorption and its applications for sensing and heat absorbing windows,"STAR, MHRD, New Delhi",Prof. Sachinkumar Srivastava STR-1526-PHY
459,"Design and development of high performance supercapatteri for solar applications ( Solar Lantern,Solar home light)","MNRE, New Delhi",Prof. Yogesh Kumar Sharma MNE-1527-PHY
460,Energy -efficient reconfigurable silicon photonic integrated devices and circuits for optical interconnects,"DST, New Delhi",Prof. Rajesh kumar DST-1576-PHY
461,Study of laboratory plasma through the detailed collisional radiative model and reliable cross-section data calculated for different atomic processes,"SERB, New Delhi",Prof. Rajesh Srivastava SER-1615-PHY
462,Nuclear structure and evaluation of collectivity beyond 208 pb,"SERB, New Delhi",Prof. Ajay Y. Deo SER-1619-PHY
463,Indo-South Korea Joint Network center for environmental cyber physical system,"DST, New Delhi",Prof. Sachin Kumar Srivastava DST-1637-PHY
464,Josephson transport across coupled quantum dots,"SERB, New Delhi",Prof. AJAY SER-1644-PHY
465,Development of ultrasensitive MEMS Magnetic sensors for flexible electronics,"SERB, New Delhi",Prof. Davinder Kaur Walia SER-1649-PHY
466,Mesoscale modeling of amorphous solids for large scale simultions,"National Supercomputing Mission (NSM), New Delhi",Prof. ShiladityaSengupta NSM-1662-PHY
467,Fist Programme,"DST, New Delhi",Prof. Arup Samanta DST-1684-PHY
468,Investigation of topology in magnetic and correlated systems,"SERB, New Delhi",Prof. Tulika Maitra SER-1731-PHY
469,Respiratory virus detection using advanced machine-learning enabled plasmon enhanced raman-spectroscopic nano-sensors (REVAMPERS),"DST, New Delhi",Prof. Sachin Kumar Srivastava DST-1734-PHY
470,INSPIRE Faculty Fellowship,"DST, New Delhi",Prof. Anjani Kumar Tiwari DST-1812-PHY
471,Neutron stars slands colliders holography entanglement color superconductivity and ACMS in from String/M-Theoretic Holography at Intermediate Coupling,"SERB, New Delhi",Prof. AalokMisra SER-1829-PHY
472,Semi-Transport Third generation photovoltaics device for building integration,Tripartite Memorandum of Understanding (MOU) for Funding Virtual Energy Conclave for conducting Industry Oriented Research in the field of energy,Prof. SoumitraSatapathi VEC-1831-PHY
473,DST-Storage MAP,"DST, New Delhi",Prof. Yogesh Kumar Sharma DST-1834-PHY
474,Self Powered Wavelength Selective NiO based Plasmonic UV-visible Photodetector,"SERB, New Delhi",Prof. Anirban Mitra SER-1841-PHY
475,Hybrid - Halide Perovskites for efficient suprercapacitor application,"SERB ,New Delhi",Prof. Monojit Bag SER-1848-PHY
476,Investiagtion and characterization of ionospheric two dimensional plasma structures over the geomagnetic low-mid latitude transition region usin artificial intelligence and machine learning,"SERB, New Delhi",Prof. SumantaSarkhel SER-1850-PHY
477,Development of Transparent Perovskite Devices for building Integrated Photovoltaics (TRADE),"SERB, New Delhi",Prof. SoumitraSatapathi SER-1852-PHY
478,Centre for rechargeable energy storage systems for augmenting transportation and electrification (CREATE),"SERB, New Delhi",Prof. Yogesh kumar Sharma SER-1856-PHY
479,Study of low dimensional magnetic and multiferroic materials from first principles calculations,"SERB, New Delhi",Prof. Tulika Maitra SER-1860-PHY
480,The Electric field control of Magnetization properties in Quantum Matter Heterostructures,"SERB, New Delhi",Prof. Vivek Kumar Malik SER-1869-PHY
481,IR Radiation Propagation study througjh Mono-centric lons (MCL) assembly,"DRDO, Dehradun",Prof. Akhilesh Kumar Mishra DRD-1874-PHY
482,"Growth and Study of Structural, Superconducting and magnetic properties of Iron-based topological superconductors","UGC-DAE CSR, Mumbai",Prof. G.D. Varma UGC-1879-PHY
483,Development of Conversational Sanskrit translator using Neural Machine Translation,"ALL INDIA Council for technical education, New Delhi",Prof. Anil Kumar Gourishetty IKS-1891-PHY
484,Soft hydrogel lens as non-inasive ocular implant for image assisted in vivo drug delivery in diabetic retinopathy,Chellaram Diabetes Research Centre,Prof. Mayank Goswami CDR-1899-PHY
485,Mass Production of High Performance carbon fibers and nanofibric separators by Electro-spining techniques for rechargeable batteries and super-capacitors,"National Technical Textiles Mission, Ministry of Textiles, Udyog Bhawan, New Delhi",Prof. Yogesh Sharma NTM-1910-PHY
486,Computer tomographhy (CT) based algorithm for non-destructive quality assessment of ceramic joints of the components used in space applications,"ISRO, Bengaluru",Prof. Mayank Goswami STC-1937-PHY
487,Large scale relativistic calculations for atomic structure and electron impact excitation of impurity ions,"International Atomic energy agency, (IAEA), Viennna, Austria",Prof. Lalita Sharma IAE-1964-PHY
488,SERB N-PDF,"SERB, New DELHI",Prof. Rajdeep Chatterjee (Mentor) SER-1986-PHY
489,Development of photonic enhanced multiparameter detection platform for TBI screening,"DRDO, New Delhi",Prof. Sachin kumar Srivastava DRD-1993-PHY
490,IKS Internship Program 2022,"IKS AICTE, New Delhi",Prof. Anil Kumar Gourishetty IKS-2004-PHY
491,Liquid crustal elastomer-based opto-mechanical control of photonic resonators,"SERB, New Delhi",Prof. Anjani kumar Tiwari SER-2005-PHY
492,development of lead-freee perovskite solar cells for indoor lighting - a green solution for a grey problem free- solar,"DST, New Delhi",Prof. Soumitra Satapathi DST-2021-PHY
493,Study of optical pulses and Beams with Optical Angular Momemtun,"SERB, New Delhi",Prof. Ahilesh Kumar Mishra SER-2046-PHY
494,Value addition of wood and wood based composites using nanomaterials,"ICFRE, Dehradun",Prof. Y.S. Negi ICF-1585-PPE
495,Development of silver Nanowire/Polymer composite as transparent electrode for flexible thin film solar cell - TARE,"SERB, New Delhi",Dr. Manjeet Singh SER-1610-PPE
496,Light weight thermal super-insulting aerogel made by using hybrid cellulose nanomaterials extracted from waste biomaterials for building and advanced applications,"SERB, New Delhi",Prof. Pradip Kumar Maji SER-1836-PPE
497,INSPIRE Faculty Fellowship,"DST, New Delhi (Transfer from Institute of Nanoscience & Technology, Mohali to I.I.T. Roorkee, Roorkee",Dr. Kaushik Parida (Inspire faculty) DST-1935-PPE
498,Development of Complex biomimetic artifical nerve-graft for repairing spinal cord injury,Indian council of Medical Research,Prof. Narayan Chandra Mishra ICM-1979-PPE
499,3D printed hybrid electrode based wearable pressure sensor for early detection of diabetic foot ulcer,"SERB, New DELHI",Prof. Kaushik Parida SER-1996-PPE
500,Luminescent organic single crystals for flexible display devices,"SERB, New Delhi",Prof. Kaushik Parida SER-2028-PPE
501,Development of improved adhesive product for the tile applications,"Kasper India PVT. LTD, Rohtak",Prof. Gaurav Manik KIP-2034-PPE
502,Chemical recycling of unsaturated polyster resin and its composites,John Deere India Pvt. Ltd.,Prof. Pradip Kumar Maji JDI-2039-PPE
503,Experimental Agromet Advisory Service Unit,"National Centre for Medium Range Weather Forecasting, Noida",Dr. Ashish Pandey NWF-206-WRC
504,Water for change integrotive and fit for purpose water sensitive design framework for fast growing livable cities,"DST, New Delhi",Dr. M.L Kansal DST-1429-WRC
505,IRRIGATION Efficiency improvement through ON-Form water Management,"MOWR, New Delhi",Dr. Ashish Pandey MOW-1440-WRC
506,Impacts of recent EI - Nino Southern oscillation (ENSO) on the water - food- energy nexus in south asia.,"SRCS, Sweden",Prof. Kasiviswanathan K.S. SWR-1524-WRC
507,Green technology for detection of leakage & heavy metals and prevention of choking in pipe networks and its demonstrations in himalayan setups,"NMHS, Almora",Prof. S.K. Mishra NMH-1540-WRC
508,Historical trend analysis of ramsar wetlands in indi : A remote sensing and modeling approach,"ISRO, Ahmedabad",Prof. Ashish Pandey ISR-1588-WRC
509,Identification of critical soil erosion prone areas and preparation of CAT Plan,"National Mission for Clean Ganga, Ministry of Jal Shakti, New Delhi",Prof. Ashish Pandey NMC-1779-WRC
510,Design of climate resilient managed aquifer recharge strategy for safe water supplies and improved groundwater protection in hindon river basin,"SERB, New Delhi",Prof. Basant Yadav SER-1783-WRC
511,Development of decision support system for integrated operation of tehri hydro power complex,"THDC India Ltd., Rishikesh",Prof. Kasiviswanathan K.S. THD-1890-WRC
512,Water Security assessment at the river basin level using the water footprint concepts,"ISRO, Bengaluru",Prof. Basant Yadav STC-1943-WRC
513,An integrated approach to quantify the impacts of climate change and socioeconomic dynamics on human health risk associated with contaminated urban floodwaters,"SERB, New DELHI",Prof. Mohit Prakash Mohanty SER-1974-WRC
514,community based managed aquifier recharge (COMAR) in rural clusters : a tool for sustainable and safe drinking water supply,"Ministry of Jal shakti, Department of Driniking water and sanitation",Prof. Basant Yadav MJS-2020-WRC
515,support to develop the water at WRD&M (For soil and quality lab),Indraprastha Limited - CSR Support,Prof. Ashish Pandey IGL-1929-WRC
